Name,Technical Skills
Candidate 52,"C++, OpenCV, QT, Go, Gin, Echo"
Candidate 53,"AR/VR, Unity, Unreal Engine, Blockchain, Solidity, Smart Contracts, Swift, iOS Development"
Candidate 54,"SQL, MySQL, PostgreSQL, MongoDB, C++, OpenCV, QT"
Candidate 55,"SQL, MySQL, PostgreSQL, MongoDB, Computer Vision, NLP, Reinforcement Learning, Embedded Systems, IoT, Raspberry Pi, Arduino, Swift, iOS Development"
Candidate 56,"Swift, iOS Development, Blockchain, Solidity, Smart Contracts"
Candidate 57,"Docker, Kubernetes, CI/CD, NoSQL, Firebase, DynamoDB, Cybersecurity, Ethical Hacking, Penetration Testing, Blockchain, Solidity, Smart Contracts"
Candidate 58,"Python, Django, Flask, Cybersecurity, Ethical Hacking, Penetration Testing"
Candidate 59,"Kotlin, Android Development, Go, Gin, Echo, AWS, GCP, Azure"
Candidate 60,"Java, Spring Boot, Hibernate, Quantum Computing, Qiskit, IBM Quantum, AWS, GCP, Azure, Computer Vision, NLP, Reinforcement Learning"
Candidate 61,"Kotlin, Android Development, DevOps, Terraform, Ansible, Go, Gin, Echo, Big Data, Hadoop, Spark"
Candidate 62,"Quantum Computing, Qiskit, IBM Quantum, Swift, iOS Development, Java, Spring Boot, Hibernate, C++, OpenCV, QT, Python, Django, Flask"
Candidate 63,"AR/VR, Unity, Unreal Engine, Swift, iOS Development, C++, OpenCV, QT, Blockchain, Solidity, Smart Contracts, Big Data, Hadoop, Spark"
Candidate 64,"AR/VR, Unity, Unreal Engine, DevOps, Terraform, Ansible, Quantum Computing, Qiskit, IBM Quantum, Rust, WebAssembly, Go, Gin, Echo"
Candidate 65,"Go, Gin, Echo, AWS, GCP, Azure"
Candidate 66,"Big Data, Hadoop, Spark, AR/VR, Unity, Unreal Engine, SQL, MySQL, PostgreSQL, MongoDB"
Candidate 67,"Kotlin, Android Development, Computer Vision, NLP, Reinforcement Learning, DevOps, Terraform, Ansible, Embedded Systems, IoT, Raspberry Pi, Arduino"
Candidate 68,"DevOps, Terraform, Ansible, JavaScript, React, Node.js, Express"
Candidate 69,"DevOps, Terraform, Ansible, Python, Django, Flask, Kotlin, Android Development, TypeScript, Angular, NestJS"
Candidate 70,"Java, Spring Boot, Hibernate, C++, OpenCV, QT, Docker, Kubernetes, CI/CD"
Candidate 71,"AWS, GCP, Azure, Embedded Systems, IoT, Raspberry Pi, Arduino, JavaScript, React, Node.js, Express"
Candidate 72,"Computer Vision, NLP, Reinforcement Learning, Swift, iOS Development, AWS, GCP, Azure, AR/VR, Unity, Unreal Engine"
Candidate 73,"Big Data, Hadoop, Spark, Embedded Systems, IoT, Raspberry Pi, Arduino, AWS, GCP, Azure, Blockchain, Solidity, Smart Contracts"
Candidate 74,"Cybersecurity, Ethical Hacking, Penetration Testing, Big Data, Hadoop, Spark, TensorFlow, PyTorch, Machine Learning, Deep Learning"
Candidate 75,"Python, Django, Flask, Cybersecurity, Ethical Hacking, Penetration Testing, Quantum Computing, Qiskit, IBM Quantum, Kotlin, Android Development"
Candidate 76,"TensorFlow, PyTorch, Machine Learning, Deep Learning, C++, OpenCV, QT, Swift, iOS Development, AWS, GCP, Azure, Quantum Computing, Qiskit, IBM Quantum"
Candidate 77,"DevOps, Terraform, Ansible, Kotlin, Android Development, Python, Django, Flask, Computer Vision, NLP, Reinforcement Learning, Swift, iOS Development"
Candidate 78,"Docker, Kubernetes, CI/CD, TypeScript, Angular, NestJS, AR/VR, Unity, Unreal Engine, Computer Vision, NLP, Reinforcement Learning"
Candidate 79,"Python, Django, Flask, Docker, Kubernetes, CI/CD, SQL, MySQL, PostgreSQL, MongoDB, Computer Vision, NLP, Reinforcement Learning, Java, Spring Boot, Hibernate"
Candidate 80,"Embedded Systems, IoT, Raspberry Pi, Arduino, Rust, WebAssembly"
Candidate 81,"DevOps, Terraform, Ansible, Blockchain, Solidity, Smart Contracts, Cybersecurity, Ethical Hacking, Penetration Testing, Swift, iOS Development"
Candidate 82,"Cybersecurity, Ethical Hacking, Penetration Testing, DevOps, Terraform, Ansible"
Candidate 83,"Cybersecurity, Ethical Hacking, Penetration Testing, AR/VR, Unity, Unreal Engine, TensorFlow, PyTorch, Machine Learning, Deep Learning, TypeScript, Angular, NestJS, Big Data, Hadoop, Spark"
Candidate 84,"DevOps, Terraform, Ansible, TensorFlow, PyTorch, Machine Learning, Deep Learning, Java, Spring Boot, Hibernate, C++, OpenCV, QT, JavaScript, React, Node.js, Express"
Candidate 85,"Cybersecurity, Ethical Hacking, Penetration Testing, Docker, Kubernetes, CI/CD, Go, Gin, Echo"
Candidate 86,"TensorFlow, PyTorch, Machine Learning, Deep Learning, C++, OpenCV, QT, DevOps, Terraform, Ansible, NoSQL, Firebase, DynamoDB"
Candidate 87,"TensorFlow, PyTorch, Machine Learning, Deep Learning, AWS, GCP, Azure, Go, Gin, Echo, C++, OpenCV, QT"
Candidate 88,"Computer Vision, NLP, Reinforcement Learning, DevOps, Terraform, Ansible, Big Data, Hadoop, Spark, Blockchain, Solidity, Smart Contracts, Kotlin, Android Development"
Candidate 89,"NoSQL, Firebase, DynamoDB, Computer Vision, NLP, Reinforcement Learning, DevOps, Terraform, Ansible, AWS, GCP, Azure, Cybersecurity, Ethical Hacking, Penetration Testing"
Candidate 90,"Java, Spring Boot, Hibernate, JavaScript, React, Node.js, Express, Embedded Systems, IoT, Raspberry Pi, Arduino"
Candidate 91,"Python, Django, Flask, JavaScript, React, Node.js, Express, Blockchain, Solidity, Smart Contracts, Quantum Computing, Qiskit, IBM Quantum"
Candidate 92,"Java, Spring Boot, Hibernate, Quantum Computing, Qiskit, IBM Quantum"
Candidate 93,"DevOps, Terraform, Ansible, Cybersecurity, Ethical Hacking, Penetration Testing"
Candidate 94,"Rust, WebAssembly, Quantum Computing, Qiskit, IBM Quantum, C++, OpenCV, QT"
Candidate 95,"Docker, Kubernetes, CI/CD, Quantum Computing, Qiskit, IBM Quantum"
Candidate 96,"Blockchain, Solidity, Smart Contracts, SQL, MySQL, PostgreSQL, MongoDB, Docker, Kubernetes, CI/CD, Kotlin, Android Development"
Candidate 97,"Rust, WebAssembly, Go, Gin, Echo, Kotlin, Android Development"
Candidate 98,"Blockchain, Solidity, Smart Contracts, Computer Vision, NLP, Reinforcement Learning, DevOps, Terraform, Ansible, Quantum Computing, Qiskit, IBM Quantum, SQL, MySQL, PostgreSQL, MongoDB"
Candidate 99,"Cybersecurity, Ethical Hacking, Penetration Testing, Kotlin, Android Development"
